DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Grant Williams,1629684,Celtics
Jalen Williams,1631114,
Jaylin Williams,1631119,
Kenrich Williams,1629026,Thunder
Lou Williams,101150,Hawks
Mark Williams,1631109,
Patrick Williams,1630172,Bulls
Trevion Williams,1630652,
Ziaire Williams,1630533,
Robert Williams III,1629057,Celtics
Vince Williams Jr.,1631246,
Lucas Williamson,1631351,
Zion Williamson,1629627,Pelicans
D.J. Wilson,1628391,Rockets
Dylan Windler,1629685,Cavaliers
Justise Winslow,1626159,Grizzlies
Cassius Winston,1630216,Wizards
James Wiseman,1630164,Warriors
Christian Wood,1626174,Rockets
Robert Woodard II,1630218,Kings
Delon Wright,1626153,Kings
Moses Wright,1630589,
McKinley Wright IV,1630593,
Gabe York,1628221,
Thaddeus Young,201152,Bulls
Trae Young,1629027,Hawks
Omer Yurtseven,1630209,Heat
Cody Zeller,203469,Hornets
Ivica Zubac,1627826,Clippers
