athlete_id,athlete_headshot_href
3278,https://a.espncdn.com/i/headshots/nba/players/full/3278.png
3220,https://a.espncdn.com/i/headshots/nba/players/full/3220.png
3194,https://a.espncdn.com/i/headshots/nba/players/full/3194.png
3021,NA
3402,https://a.espncdn.com/i/headshots/nba/players/full/3402.png
3242,https://a.espncdn.com/i/headshots/nba/players/full/3242.png
2996,NA
3197,https://a.espncdn.com/i/headshots/nba/players/full/3197.png
3188,NA
3214,https://a.espncdn.com/i/headshots/nba/players/full/3214.png
3205,https://a.espncdn.com/i/headshots/nba/players/full/3205.png
3208,NA
3251,https://a.espncdn.com/i/headshots/nba/players/full/3251.png
2999,NA
2837,NA
3057,NA
3273,NA
3290,https://a.espncdn.com/i/headshots/nba/players/full/3290.png
3263,https://a.espncdn.com/i/headshots/nba/players/full/3263.png
2774,https://a.espncdn.com/i/headshots/nba/players/full/2774.png
3202,https://a.espncdn.com/i/headshots/nba/players/full/3202.png
3209,https://a.espncdn.com/i/headshots/nba/players/full/3209.png
3468,https://a.espncdn.com/i/headshots/nba/players/full/3468.png
3469,https://a.espncdn.com/i/headshots/nba/players/full/3469.png
1978,https://a.espncdn.com/i/headshots/nba/players/full/1978.png
2506,https://a.espncdn.com/i/headshots/nba/players/full/2506.png
3466,https://a.espncdn.com/i/headshots/nba/players/full/3466.png
3431,https://a.espncdn.com/i/headshots/nba/players/full/3431.png
3442,https://a.espncdn.com/i/headshots/nba/players/full/3442.png
3461,NA
3455,https://a.espncdn.com/i/headshots/nba/players/full/3455.png
3474,https://a.espncdn.com/i/headshots/nba/players/full/3474.png
3837,https://a.espncdn.com/i/headshots/nba/players/full/3837.png
3201,https://a.espncdn.com/i/headshots/nba/players/full/3201.png
3447,https://a.espncdn.com/i/headshots/nba/players/full/3447.png
3423,https://a.espncdn.com/i/headshots/nba/players/full/3423.png
2780,https://a.espncdn.com/i/headshots/nba/players/full/2780.png
3416,https://a.espncdn.com/i/headshots/nba/players/full/3416.png
3225,https://a.espncdn.com/i/headshots/nba/players/full/3225.png
